                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.67064,                0.11317,                0.06611,                0.39535,                0.94651,                 0.9987,                      1,                  0.995,                0.85402,                 0.9987,                      1,                  0.995,                  0.995,                0.62399,                0.04932,                0.01387,                0.35781,                0.94217,              0.0016337,              0.0016337,              0.0016337
                     40,                0.66296,                0.11663,                0.06109,                  0.386,                0.94734,                0.99874,                      1,                  0.995,                0.83338,                0.99874,                      1,                  0.995,                0.99432,                0.65678,                0.06698,                0.01238,                0.37796,                0.95733,              0.0016238,              0.0016238,              0.0016238
                     41,                0.67187,                0.12639,                0.05813,                0.39597,                0.94444,                0.99864,                      1,                  0.995,                0.84223,                0.99864,                      1,                  0.995,                0.99436,                0.61294,                0.07028,                0.01387,                0.35198,                0.95846,              0.0016139,              0.0016139,              0.0016139
                     42,                0.67651,                0.12241,                 0.0626,                0.38572,                0.94369,                 0.9988,                      1,                  0.995,                 0.8642,                 0.9988,                      1,                  0.995,                  0.995,                0.61479,                0.05094,                0.01152,                0.34219,                0.96424,               0.001604,               0.001604,               0.001604
                     43,                0.68959,                0.11678,                0.06656,                0.39539,                0.96783,                0.99839,                      1,                  0.995,                0.83563,                0.99839,                      1,                  0.995,                0.98901,                0.64935,                0.09157,                0.01439,                0.36166,                0.96857,              0.0015941,              0.0015941,              0.0015941
                     44,                0.67537,                0.10929,                 0.0531,                0.39256,                0.94048,                0.99866,                      1,                  0.995,                 0.8219,                0.99866,                      1,                  0.995,                  0.995,                0.70516,                0.05457,                0.01194,                0.37374,                0.99007,              0.0015842,              0.0015842,              0.0015842
                     45,                0.69101,                0.11554,                0.06422,                0.39006,                0.94094,                 0.9988,                      1,                  0.995,                 0.8384,                 0.9988,                      1,                  0.995,                  0.995,                0.70398,                0.05191,                0.01383,                0.36357,                0.96414,              0.0015743,              0.0015743,              0.0015743
                     46,                 0.6652,                0.10048,                0.04854,                0.38882,                0.93361,                0.99846,                      1,                  0.995,                0.83484,                0.99846,                      1,                  0.995,                  0.995,                 0.6744,                0.05957,                0.01263,                0.36339,                0.96678,              0.0015644,              0.0015644,              0.0015644
                     47,                0.66626,                0.09573,                 0.0517,                0.38158,                0.94766,                0.99854,                      1,                  0.995,                0.82218,                0.99854,                      1,                  0.995,                0.99414,                0.67892,                0.05636,                0.01054,                0.37136,                0.96319,              0.0015545,              0.0015545,              0.0015545
                     48,                0.69932,                0.11656,                0.05758,                0.40646,                0.95784,                0.99877,                      1,                  0.995,                0.83951,                0.99877,                      1,                  0.995,                0.99428,                0.68456,                0.04943,                0.01206,                0.36366,                0.95788,              0.0015446,              0.0015446,              0.0015446
                     49,                0.67546,                0.11193,                0.05658,                0.38933,                0.94662,                0.99879,                      1,                  0.995,                0.83254,                0.99879,                      1,                  0.995,                  0.995,                0.67225,                 0.0455,                0.01022,                0.36184,                0.97775,              0.0015347,              0.0015347,              0.0015347
                     50,                0.66125,                0.11575,                0.04984,                0.38008,                0.95444,                0.99871,                      1,                  0.995,                0.84173,                0.99871,                      1,                  0.995,                0.99429,                0.64991,                0.06096,                0.01379,                0.34897,                0.96531,              0.0015248,              0.0015248,              0.0015248
                     51,                0.66299,                0.11833,                 0.0505,                0.38454,                0.96018,                0.99882,                      1,                  0.995,                0.83578,                0.99882,                      1,                  0.995,                0.99385,                0.70994,                0.06316,                0.00754,                0.35252,                0.99412,              0.0015149,              0.0015149,              0.0015149
                     52,                0.67689,                0.11188,                0.05442,                0.38293,                0.94565,                0.99879,                      1,                  0.995,                0.84692,                0.99879,                      1,                  0.995,                0.99372,                 0.6785,                0.05367,                0.00727,                0.34834,                0.98374,               0.001505,               0.001505,               0.001505
                     53,                0.66402,                0.11049,                0.04885,                0.39084,                0.94769,                0.99865,                      1,                  0.995,                0.85504,                0.99865,                      1,                  0.995,                0.99439,                0.60004,                0.04092,                0.00601,                0.34274,                0.95407,              0.0014951,              0.0014951,              0.0014951
                     54,                0.64382,                0.09724,                0.04858,                0.37181,                0.93858,                0.99879,                      1,                  0.995,                0.85216,                0.99879,                      1,                  0.995,                  0.995,                0.63906,                0.04856,                0.00759,                0.34486,                0.95945,              0.0014852,              0.0014852,              0.0014852
                     55,                0.64371,                0.09461,                0.05305,                0.36821,                0.95074,                0.99881,                      1,                  0.995,                0.83039,                0.99881,                      1,                  0.995,                  0.995,                0.69372,                0.04801,                0.00626,                0.34272,                 0.9776,              0.0014753,              0.0014753,              0.0014753
                     56,                0.65669,                0.09246,                 0.0498,                0.36356,                0.93703,                0.99882,                      1,                  0.995,                0.82476,                0.99882,                      1,                  0.995,                 0.9944,                0.71286,                0.04962,                0.01403,                0.34324,                0.99302,              0.0014654,              0.0014654,              0.0014654
